City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Algiers,DZ,36.7525,3.042,66.02,94,20,2.3,few clouds
135,Tynda,RU,55.1667,124.7167,71.87,73,100,3.24,overcast clouds
136,Brae,GB,60.3964,-1.353,50.32,84,100,8.48,overcast clouds
137,Leningradskiy,RU,69.3833,178.4167,40.06,78,94,9.1,overcast clouds
138,Acapulco,MX,16.8634,-99.8901,84.02,70,75,3.44,broken clouds
139,Karratha,AU,-20.7377,116.8463,71.87,37,90,16.89,overcast clouds
140,Katsuura,JP,35.1333,140.3,76.8,87,100,14.36,overcast clouds
141,Faanui,PF,-16.4833,-151.75,78.55,69,86,19.39,overcast clouds
142,Puerto Ayacucho,VE,5.6639,-67.6236,75.52,91,100,2.59,overcast clouds
143,Pimentel,PE,-6.8367,-79.9342,62.46,83,77,16.02,broken clouds
144,Tashla,RU,51.7716,52.7427,73.53,67,100,13.8,overcast clouds
145,Rio Grande,BR,-32.035,-52.0986,50.95,83,0,17.76,clear sky
146,Wukari,NG,7.85,9.7833,72.25,96,100,5.39,overcast clouds
147,Provideniya,RU,64.3833,-173.3,57.36,77,75,7.0,broken clouds
148,Mikkeli,FI,61.6886,27.2723,59.11,88,0,5.75,clear sky
149,Saquena,PE,-4.6667,-73.5167,76.69,83,100,2.82,overcast clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,40,6.91,scattered clouds
151,Anadyr,RU,64.75,177.4833,55.9,82,75,0.0,broken clouds
152,Zonguldak,TR,41.25,31.8333,54.45,92,0,3.44,clear sky
153,Golden Gate,US,26.1879,-81.6951,79.99,76,0,3.44,clear sky
154,Kamiiso,JP,41.8167,140.65,71.98,73,75,16.11,broken clouds
155,Morwa,IN,22.9,73.8333,77.74,92,100,3.74,heavy intensity rain
156,Camana,PE,-16.6228,-72.7111,59.47,80,98,4.27,overcast clouds
157,Fortuna,US,40.5982,-124.1573,62.91,76,0,3.0,clear sky
158,Zeya,RU,53.75,127.2667,84.25,45,86,2.84,overcast clouds
159,Norman Wells,CA,65.282,-126.8329,55.44,88,100,8.05,overcast clouds
160,Bay Roberts,CA,47.5999,-53.2648,67.75,94,93,4.0,overcast clouds
161,Mikuni,JP,36.2171,136.1519,80.51,86,100,9.17,overcast clouds
162,Sao Filipe,CV,14.8961,-24.4956,73.69,81,30,11.07,scattered clouds
163,Qaanaaq,GL,77.484,-69.3632,38.91,97,100,6.31,light rain
164,Tasiilaq,GL,65.6145,-37.6368,36.59,80,3,6.4,clear sky
165,Benjamin Aceval,PY,-24.9667,-57.5667,68.59,70,100,3.53,overcast clouds
166,Nacogdoches,US,31.6002,-94.6335,96.44,68,75,5.75,broken clouds
167,Leshukonskoye,RU,64.8989,45.7622,68.95,73,78,4.59,broken clouds
168,Carnarvon,AU,-24.8667,113.6333,70.68,71,0,10.69,clear sky
169,Barrow,US,71.2906,-156.7887,42.82,70,0,16.11,clear sky
170,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,12.66,light intensity shower rain
171,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,5.75,broken clouds
172,Simpang,ID,-1.2667,104.0833,82.49,78,98,3.67,light rain
173,Coria,ES,39.9879,-6.5377,85.44,23,4,4.34,clear sky
174,Roebourne,AU,-20.7833,117.1333,70.88,34,97,16.8,overcast clouds
