City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Belmonte,BR,2022-07-07 03:09:44,-15.8631,-38.8828,71.92,83,59,6.49
102,Punta Arenas,CL,2022-07-07 03:07:46,-53.15,-70.9167,30.31,93,0,12.66
103,Anopino,RU,2022-07-07 03:09:44,55.6981,40.6671,68.02,88,31,5.46
104,Houston,US,2022-07-07 03:07:03,29.7633,-95.3633,87.13,75,20,13.8
105,Codrington,AU,2022-07-07 03:09:45,-38.2667,141.9667,53.69,66,60,17.67
106,Upernavik,GL,2022-07-07 03:09:45,72.7868,-56.1549,39.99,84,7,3.69
107,Lompoc,US,2022-07-07 03:09:45,34.6391,-120.4579,68.77,75,0,9.22
108,Semnan,IR,2022-07-07 03:09:46,35.5729,53.3971,75.24,39,0,3.71
109,Gushikawa,JP,2022-07-07 03:09:46,26.3544,127.8686,89.6,75,75,12.66
110,Sinnamary,GF,2022-07-07 03:09:46,5.3833,-52.95,76.86,82,81,7.96
111,East London,ZA,2022-07-07 03:09:47,-33.0153,27.9116,58.62,68,0,5.61
112,Faanui,PF,2022-07-07 03:09:47,-16.4833,-151.75,79.36,66,9,9.31
113,Majene,ID,2022-07-07 03:08:00,-3.5403,118.9707,83.03,71,45,9.04
114,Alofi,NU,2022-07-07 03:09:47,-19.0595,-169.9187,76.89,61,40,17.27
115,Petropavlovsk-Kamchatskiy,RU,2022-07-07 03:09:47,53.0452,158.6483,72.19,60,75,11.18
116,Chau Doc,VN,2022-07-07 03:04:51,10.7,105.1167,89.08,62,100,10.36
117,Tasiilaq,GL,2022-07-07 03:09:48,65.6145,-37.6368,39.36,85,100,5.61
118,Saint-Ambroise,CA,2022-07-07 03:09:48,48.5501,-71.3324,48.94,75,19,2.8
119,Balykshi,KZ,2022-07-07 03:09:49,47.0667,51.8667,64.4,55,0,2.24
120,Yellowknife,CA,2022-07-07 03:09:49,62.456,-114.3525,68.56,49,7,5.01
121,San Jose,US,2022-07-07 03:06:50,37.3394,-121.895,72.28,67,20,14.97
122,Constitucion,CL,2022-07-07 03:09:49,-35.3333,-72.4167,47.26,84,25,3.71
123,Turayf,SA,2022-07-07 03:09:50,31.6725,38.6637,69.91,42,0,6.64
124,Polyarnyy,RU,2022-07-07 03:09:50,69.1989,33.4478,56.44,77,48,4.54
125,Port Alfred,ZA,2022-07-07 03:09:50,-33.5906,26.891,60.13,66,0,9.17
126,Mataura,NZ,2022-07-07 03:09:51,-46.1927,168.8643,46.47,70,100,3.76
127,Butaritari,KI,2022-07-07 03:09:51,3.0707,172.7902,82.89,74,81,20.78
128,Guerrero Negro,MX,2022-07-07 03:09:51,27.9769,-114.0611,67.28,85,0,16.22
129,Mastic Beach,US,2022-07-07 03:09:51,40.7668,-72.8521,76.08,77,0,5.99
130,Tacoronte,ES,2022-07-07 03:09:52,28.4769,-16.4102,64.13,91,100,24.16
131,Bambous Virieux,MU,2022-07-07 03:09:52,-20.3428,57.7575,70.21,70,100,14.85
132,Daru,PG,2022-07-07 03:09:53,-9.0763,143.2092,80.11,88,77,14.16
133,Irbeyskoye,RU,2022-07-07 03:09:53,55.6428,95.4522,65.26,76,100,11.03
134,La Romana,DO,2022-07-07 03:09:53,18.4273,-68.9728,77.36,88,75,0.0
135,Ulladulla,AU,2022-07-07 03:09:54,-35.35,150.4667,59.47,61,66,11.14
136,Hermanus,ZA,2022-07-07 03:09:54,-34.4187,19.2345,53.11,68,25,11.07
137,Pisco,PE,2022-07-07 03:10:54,-13.7,-76.2167,58.01,88,40,3.44
138,Grand Gaube,MU,2022-07-07 03:10:55,-20.0064,57.6608,70.38,59,87,5.99
139,Omboue,GA,2022-07-07 03:10:55,-1.5746,9.2618,70.57,87,50,6.44
140,Nikolskoye,RU,2022-07-07 03:10:56,59.7035,30.7861,63.88,89,100,3.78
141,Zadar,HR,2022-07-07 03:10:56,44.1197,15.2422,77.61,33,0,11.5
142,Saldanha,ZA,2022-07-07 03:10:56,-33.0117,17.9442,52.54,84,5,10.29
143,Cap Malheureux,MU,2022-07-07 03:10:57,-19.9842,57.6142,70.47,59,83,5.99
144,Kidal,ML,2022-07-07 03:10:57,18.4411,1.4078,86.63,36,23,5.57
145,Wencheng,CN,2022-07-07 03:10:57,33.0559,113.7978,89.8,50,1,2.91
146,Loukhi,RU,2022-07-07 03:10:58,66.0764,33.0381,58.42,74,85,4.59
147,Bluff,NZ,2022-07-07 03:10:58,-46.6,168.3333,46.8,70,100,5.08
148,Nyurba,RU,2022-07-07 03:10:58,63.2842,118.3319,67.75,63,100,7.4
149,Palembang,ID,2022-07-07 03:10:15,-2.9167,104.7458,84.29,79,20,2.3
150,Marivan,IR,2022-07-07 03:10:59,35.5219,46.176,69.08,41,0,6.46
151,Ahipara,NZ,2022-07-07 03:10:59,-35.1667,173.1667,59.77,96,100,11.65
152,Dingle,PH,2022-07-07 03:10:59,10.9995,122.6711,84.22,77,98,5.86
153,Sibolga,ID,2022-07-07 03:11:00,1.7427,98.7792,85.1,67,86,2.93
154,Dharmadam,IN,2022-07-07 03:11:00,11.7833,75.4333,77.29,87,100,9.24
155,Atar,MR,2022-07-07 03:11:00,20.5169,-13.0499,92.7,19,41,1.23
156,Methven,NZ,2022-07-07 03:11:01,-43.6333,171.65,44.02,87,100,3.0
157,Matay,EG,2022-07-07 03:11:01,28.419,30.7792,77.7,39,0,7.92
158,Belaya Gora,RU,2022-07-07 03:11:01,68.5333,146.4167,61.09,50,100,12.53
159,Kahului,US,2022-07-07 03:11:02,20.8947,-156.47,83.97,64,20,24.16
160,Manokwari,ID,2022-07-07 03:11:00,-0.8667,134.0833,76.82,88,95,4.76
161,Killin,US,2022-07-07 03:11:02,33.6123,-91.7412,80.69,83,0,3.44
162,Mana,GF,2022-07-07 03:11:02,5.6592,-53.7767,77.05,82,90,8.12
163,Salalah,OM,2022-07-07 03:11:03,17.0151,54.0924,77.68,94,100,14.67
164,Nazira,IN,2022-07-07 03:11:03,26.9167,94.7333,87.51,79,1,7.14
165,Taltal,CL,2022-07-07 03:11:04,-25.4,-70.4833,58.73,65,6,2.04
166,Talnakh,RU,2022-07-07 03:11:04,69.4865,88.3972,49.21,77,94,13.22
167,Ipixuna,BR,2022-07-07 03:11:04,-1.7625,-48.8043,75.54,82,60,3.89
168,Vysokogornyy,RU,2022-07-07 03:11:05,50.1167,139.15,87.03,46,50,7.31
169,Ahuimanu,US,2022-07-07 03:11:05,21.4447,-157.8378,85.71,70,75,13.8
170,Fonte Boa,BR,2022-07-07 03:11:05,-2.4959,-66.2662,77.2,79,98,2.77
171,Ponta Do Sol,PT,2022-07-07 03:11:06,32.6667,-17.1,68.63,75,0,3.09
172,Jalu,LY,2022-07-07 03:11:06,29.0331,21.5482,78.87,40,0,8.03
173,Khatanga,RU,2022-07-07 03:11:07,71.9667,102.5,42.82,84,100,13.96
174,Fasa,IR,2022-07-07 03:11:07,28.9383,53.6482,84.83,28,41,3.31
175,Palmer,US,2022-07-07 03:11:08,42.1584,-72.3287,68.25,79,20,0.0
176,Puerto Leguizamo,CO,2022-07-07 03:11:08,-0.1934,-74.7819,70.14,98,78,1.03
177,Hobyo,SO,2022-07-07 03:11:08,5.3505,48.5268,75.83,80,36,24.29
178,Tazmalt,DZ,2022-07-07 03:11:09,36.3868,4.3989,79.66,51,84,2.8
179,Wanaka,NZ,2022-07-07 03:11:09,-44.7,169.15,37.11,86,100,1.99
180,Akyab,MM,2022-07-07 03:11:10,20.15,92.9,83.32,79,88,8.32
181,Mecca,SA,2022-07-07 03:11:10,21.4267,39.8261,85.37,27,100,5.21
182,Kozova,UA,2022-07-07 03:11:10,49.4354,25.1509,52.05,92,100,4.14
183,Qaanaaq,GL,2022-07-07 03:12:10,77.484,-69.3632,40.24,95,100,1.57
184,Bazarnyye Mataki,RU,2022-07-07 03:12:11,54.8833,49.9333,66.0,78,7,3.53
185,Vardo,NO,2022-07-07 03:12:11,70.3705,31.1107,51.78,87,22,9.22
186,Esil,KZ,2022-07-07 03:12:11,51.9556,66.4042,61.29,67,100,11.48
187,Port Hardy,CA,2022-07-07 03:12:12,50.6996,-127.4199,58.53,92,98,8.48
188,Sao Joao Do Piaui,BR,2022-07-07 03:12:12,-8.3581,-42.2467,71.71,67,39,4.45
189,Clyde River,CA,2022-07-07 03:12:13,70.4692,-68.5914,43.56,64,99,2.08
190,Aykhal,RU,2022-07-07 03:12:13,66.0,111.5,62.46,47,21,13.51
191,Makaryev,RU,2022-07-07 03:12:13,57.8797,43.8069,68.54,78,100,3.38
192,Barraute,CA,2022-07-07 03:12:14,48.4335,-77.6328,49.44,65,41,1.95
193,Rawson,AR,2022-07-07 03:10:50,-43.3002,-65.1023,40.51,81,95,35.25
194,Port Lincoln,AU,2022-07-07 03:12:14,-34.7333,135.8667,56.34,64,100,11.41
195,Najran,SA,2022-07-07 03:12:14,17.4924,44.1277,80.53,24,98,6.6
196,Aripuana,BR,2022-07-07 03:12:15,-9.1667,-60.6333,71.89,61,3,1.19
197,Bredasdorp,ZA,2022-07-07 03:12:15,-34.5322,20.0403,46.35,76,13,5.97
198,Kargasok,RU,2022-07-07 03:12:16,59.0556,80.8572,67.24,52,26,8.9
199,Rehnan,IR,2022-07-07 03:12:16,32.6846,51.6013,65.71,23,0,0.96
200,Banda Aceh,ID,2022-07-07 03:12:16,5.5577,95.3222,84.69,68,99,8.08
201,Olafsvik,IS,2022-07-07 03:12:16,64.8945,-23.7142,50.95,91,100,26.57
202,Kushmurun,KZ,2022-07-07 03:12:17,52.4503,64.6311,60.76,69,77,9.89
203,Viedma,AR,2022-07-07 03:10:25,-40.8135,-62.9967,47.89,50,3,18.92
204,High Level,CA,2022-07-07 03:10:05,58.5169,-117.136,68.14,54,99,3.04
205,Lishui,CN,2022-07-07 03:12:17,28.4604,119.9103,95.29,52,6,2.8
206,Saint-Pierre,RE,2022-07-07 03:12:18,-21.3393,55.4781,67.91,65,75,8.05
207,Nuuk,GL,2022-07-07 03:12:18,64.1835,-51.7216,47.01,93,40,5.75
208,Sheridan,US,2022-07-07 03:12:18,44.8333,-106.9173,71.02,55,0,8.05
209,Batouri,CM,2022-07-07 03:12:19,4.4333,14.3667,66.02,98,41,1.48
210,Siggiewi,MT,2022-07-07 03:12:19,35.8556,14.4364,80.15,57,0,4.61
211,Pangkalanbuun,ID,2022-07-07 03:12:20,-2.6833,111.6167,89.01,55,16,3.27
212,Airai,TL,2022-07-07 03:12:20,-8.9266,125.4092,66.0,57,100,2.53
213,Izumo,JP,2022-07-07 03:12:20,35.3667,132.7667,86.14,60,100,5.37
