City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Shitanjing,CN,79.95,overcast clouds,39.2342,106.3439,Yingbin Hotel
415,Turan,VN,87.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
416,Douglas,US,85.87,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
418,Mancio Lima,BR,77.41,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
420,Salina Cruz,MX,81.5,overcast clouds,16.1667,-95.2,Amerik HOTEL
421,Carbonia,IT,75.85,clear sky,39.1672,8.5222,Lu 'Hotel
422,Kathmandu,NP,75.42,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
423,Nang Rong,TH,79.63,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
428,La Ronge,CA,86.22,broken clouds,55.1001,-105.2842,Northland Motor Hotel
431,Bangkalan,ID,80.55,light rain,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
435,Santa Cruz Del Sur,CU,78.69,clear sky,20.7147,-77.9956,
436,Tateyama,JP,77.52,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
440,Bam,IR,79.63,clear sky,29.106,58.357,Bam Tourist Hotel
441,Kota Belud,MY,82.31,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
443,Taiyuan,CN,78.66,overcast clouds,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
444,Kalmunai,LK,80.56,broken clouds,7.4167,81.8167,VS Villa
445,Pedernales,DO,79.99,clear sky,18.0384,-71.744,Hotel Costa Marina
446,Fare,PF,77.97,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
447,Lata,PT,76.08,scattered clouds,40.1629,-8.3327,Casa Maquia
448,Gouyave,GD,77.77,few clouds,12.1646,-61.7296,Rumboat Retreat
451,Iracoubo,GF,75.74,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
456,Seoul,KR,78.4,mist,37.5683,126.9778,Lotte Hotel Seoul
462,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
463,Bannu,PK,85.93,clear sky,32.9854,70.6027,Oxford Hostel
467,Coari,BR,76.8,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
469,Tura,IN,81.73,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
471,Marsh Harbour,BS,83.14,broken clouds,26.5412,-77.0636,Abaco Beach Resort
472,Salalah,OM,76.5,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
473,San Jose,US,83.84,few clouds,37.3394,-121.895,The Westin San Jose
474,Muroto,JP,76.37,overcast clouds,33.2833,134.15,Oota Ryokan
475,Vilyuysk,RU,75.43,few clouds,63.7553,121.6247,Gostinitsa Viliuisk
477,Brownsville,US,85.08,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
478,Kochi,IN,79.02,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
484,Acarau,BR,78.75,few clouds,-2.8856,-40.12,castelo pizzaria
485,Gambissara,SN,77.59,light rain,13.2382,-14.3108,
487,Qinzhou,CN,86.54,few clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
488,Palmer,US,76.21,scattered clouds,42.1584,-72.3287,Wedgewood Motel
492,Wuda,CN,85.39,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
495,Rapar,IN,82.13,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
497,Bubaque,GW,80.69,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
502,Payakumbuh,ID,77.68,overcast clouds,-0.2202,100.6308,Dalimo Homestay
508,Vanimo,PG,84.67,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
509,Santa Pola,ES,81.5,clear sky,38.1917,-0.5658,Patilla
512,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
513,Carlsbad,US,78.42,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
515,Chhatarpur,IN,89.67,clear sky,24.9,79.6,Hotal Moti Mahal
519,Pemangkat,ID,81.82,overcast clouds,1.1667,108.9667,Ramah Kost KITA
522,Tayu,ID,80.11,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
526,Weinan,CN,84.9,broken clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
527,Campoverde,PE,80.29,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
539,Jieshi,CN,85.6,broken clouds,22.8134,115.8257,Yuehai Hotel
540,Gaozhou,CN,86.94,clear sky,21.9392,110.8461,望江楼旅业
542,Aden,YE,86.2,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
549,Tiberias,IL,80.1,clear sky,32.7922,35.5312,Aviv Hostel
550,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
553,Vila Do Maio,CV,75.99,few clouds,15.1333,-23.2167,Hotel Marilu
557,Sao Felix Do Xingu,BR,76.82,broken clouds,-6.6447,-51.995,Rio Xingu Camping
558,Micheweni,TZ,75.61,light rain,-4.9667,39.8333,
559,Bowling Green,US,82.33,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
563,Hillsborough,US,79.11,few clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
564,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
